nm, %T
1491.000000, 81.673694
1490.000000, 81.652683
1489.000000, 81.636937
1488.000000, 81.601981
1487.000000, 81.572740
1486.000000, 81.545686
1485.000000, 81.524756
1484.000000, 81.499058
1483.000000, 81.479359
1482.000000, 81.457329
1481.000000, 81.431839
1480.000000, 81.408045
1479.000000, 81.377397
1478.000000, 81.331273
1477.000000, 81.309168
1476.000000, 81.283338
1475.000000, 81.257800
1474.000000, 81.242054
1473.000000, 81.219537
1472.000000, 81.181983
1471.000000, 81.152032
1470.000000, 81.131576
1469.000000, 81.103904
1468.000000, 81.088775
1467.000000, 81.045735
1466.000000, 81.050156
1465.000000, 81.025208
1464.000000, 80.985034
1463.000000, 80.954159
1462.000000, 80.914421
1461.000000, 80.882993
1460.000000, 80.885214
1459.000000, 80.860539
1458.000000, 80.820532
1457.000000, 80.799462
1456.000000, 80.778058
1455.000000, 80.747853
1454.000000, 80.731650
1453.000000, 80.708426
1452.000000, 80.682308
1451.000000, 80.662912
1450.000000, 80.641074
1449.000000, 80.616580
1448.000000, 80.588684
1447.000000, 80.553361
1446.000000, 80.541951
1445.000000, 80.517737
1444.000000, 80.477107
1443.000000, 80.457341
1442.000000, 80.440345
1441.000000, 80.408025
1440.000000, 80.389026
1439.000000, 80.363050
1438.000000, 80.329297
1437.000000, 80.316676
1436.000000, 80.324782
1435.000000, 80.291355
1434.000000, 80.259980
1433.000000, 80.236214
1432.000000, 80.221156
1431.000000, 80.200118
1430.000000, 80.173176
1429.000000, 80.140509
1428.000000, 80.098901
1427.000000, 80.072544
1426.000000, 80.064729
1425.000000, 80.045544
1424.000000, 80.016140
1423.000000, 79.988655
1422.000000, 79.971659
1421.000000, 79.934142
1420.000000, 79.927628
1419.000000, 79.903984
1418.000000, 79.851032
1417.000000, 79.869219
1416.000000, 79.835370
1415.000000, 79.829973
1414.000000, 79.763177
1413.000000, 79.775111
1412.000000, 79.731579
1411.000000, 79.710750
1410.000000, 79.696766
1409.000000, 79.679440
1408.000000, 79.668476
1407.000000, 79.616956
1406.000000, 79.602255
1405.000000, 79.580084
1404.000000, 79.563512
1403.000000, 79.524348
1402.000000, 79.518311
1401.000000, 79.466050
1400.000000, 79.452094
1399.000000, 79.424478
1398.000000, 79.404098
1397.000000, 79.373896
1396.000000, 79.349751
1395.000000, 79.328095
1394.000000, 79.305519
1393.000000, 79.298127
1392.000000, 79.275689
1391.000000, 79.234455
1390.000000, 79.226128
1389.000000, 79.206778
1388.000000, 79.191731
1387.000000, 79.175394
1386.000000, 79.175954
1385.000000, 79.170601
1384.000000, 79.122182
1383.000000, 79.112891
1382.000000, 79.093793
1381.000000, 79.054280
1380.000000, 79.052931
1379.000000, 79.014810
1378.000000, 78.997446
1377.000000, 78.982661
1376.000000, 78.961582
1375.000000, 78.924122
1374.000000, 78.949385
1373.000000, 78.917858
1372.000000, 78.884406
1371.000000, 78.872801
1370.000000, 78.858663
1369.000000, 78.834438
1368.000000, 78.813723
1367.000000, 78.775520
