nm, %R
1735.000000, 13.863449
1734.000000, 13.875841
1733.000000, 13.890822
1732.000000, 13.902568
1731.000000, 13.910923
1730.000000, 13.923692
1729.000000, 13.940037
1728.000000, 13.950989
1727.000000, 13.964836
1726.000000, 13.978137
1725.000000, 13.988226
1724.000000, 14.001120
1723.000000, 14.013956
1722.000000, 14.023543
1721.000000, 14.030117
1720.000000, 14.043935
1719.000000, 14.055556
1718.000000, 14.066436
1717.000000, 14.077856
1716.000000, 14.092854
1715.000000, 14.104245
1714.000000, 14.116257
1713.000000, 14.124972
1712.000000, 14.132912
1711.000000, 14.145097
1710.000000, 14.156724
1709.000000, 14.167368
1708.000000, 14.177322
1707.000000, 14.191801
1706.000000, 14.202540
1705.000000, 14.212956
1704.000000, 14.223056
1703.000000, 14.237856
1702.000000, 14.249628
1701.000000, 14.264742
1700.000000, 14.273092
1699.000000, 14.283489
1698.000000, 14.294565
1697.000000, 14.307126
1696.000000, 14.320793
1695.000000, 14.335374
1694.000000, 14.345411
1693.000000, 14.359296
1692.000000, 14.374925
1691.000000, 14.386105
1690.000000, 14.398870
1689.000000, 14.415989
1688.000000, 14.420197
1687.000000, 14.431188
1686.000000, 14.447700
1685.000000, 14.460975
1684.000000, 14.468723
1683.000000, 14.484525
1682.000000, 14.495982
1681.000000, 14.508501
1680.000000, 14.525008
1679.000000, 14.538656
1678.000000, 14.552788
1677.000000, 14.566034
1676.000000, 14.577571
1675.000000, 14.588978
1674.000000, 14.601484
1673.000000, 14.616222
1672.000000, 14.630316
1671.000000, 14.642549
1670.000000, 14.656167
1669.000000, 14.664942
1668.000000, 14.687817
1667.000000, 14.700058
1666.000000, 14.713349
1665.000000, 14.724370
1664.000000, 14.737894
1663.000000, 14.754947
1662.000000, 14.766204
1661.000000, 14.776126
1660.000000, 14.798964
1659.000000, 14.806086
1658.000000, 14.817076
1657.000000, 14.838077
1656.000000, 14.843179
1655.000000, 14.862862
1654.000000, 14.876565
1653.000000, 14.886393
1652.000000, 14.901272
1651.000000, 14.914707
1650.000000, 14.930219
1649.000000, 14.941326
1648.000000, 14.954359
1647.000000, 14.976662
1646.000000, 14.987715
1645.000000, 14.997488
1644.000000, 15.012791
1643.000000, 15.025532
1642.000000, 15.037994
1641.000000, 15.053993
1640.000000, 15.071411
1639.000000, 15.085489
1638.000000, 15.102542
1637.000000, 15.111861
1636.000000, 15.124688
1635.000000, 15.136037
1634.000000, 15.155232
1633.000000, 15.174939
1632.000000, 15.182111
1631.000000, 15.198825
1630.000000, 15.219704
1629.000000, 15.230782
1628.000000, 15.247225
1627.000000, 15.254898
1626.000000, 15.270376
1625.000000, 15.285605
1624.000000, 15.298752
1623.000000, 15.314383
1622.000000, 15.333959
1621.000000, 15.342249
1620.000000, 15.359807
1619.000000, 15.377869
1618.000000, 15.391611
1617.000000, 15.407191
1616.000000, 15.420960
1615.000000, 15.438355
1614.000000, 15.448038
1613.000000, 15.467309
1612.000000, 15.484067
1611.000000, 15.492925
1610.000000, 15.507955
1609.000000, 15.523752
1608.000000, 15.541015
1607.000000, 15.559432
1606.000000, 15.571522
1605.000000, 15.591849
1604.000000, 15.612789
1603.000000, 15.622604
1602.000000, 15.640535
1601.000000, 15.658253
1600.000000, 15.677208
1599.000000, 15.692615
1598.000000, 15.704776
1597.000000, 15.724526
1596.000000, 15.737701
1595.000000, 15.756098
1594.000000, 15.771471
1593.000000, 15.789482
1592.000000, 15.803041
1591.000000, 15.820796
1590.000000, 15.831832
1589.000000, 15.850315
1588.000000, 15.871244
1587.000000, 15.882563
1586.000000, 15.903597
1585.000000, 15.922195
1584.000000, 15.934771
1583.000000, 15.952880
1582.000000, 15.965687
1581.000000, 15.988283
1580.000000, 16.006147
1579.000000, 16.020623
1578.000000, 16.038585
1577.000000, 16.054740
1576.000000, 16.071046
1575.000000, 16.085752
1574.000000, 16.105627
1573.000000, 16.118527
1572.000000, 16.135390
1571.000000, 16.151626
1570.000000, 16.171122
1569.000000, 16.190848
1568.000000, 16.204447
1567.000000, 16.220535
1566.000000, 16.241896
1565.000000, 16.261934
1564.000000, 16.273858
1563.000000, 16.289756
1562.000000, 16.304610
1561.000000, 16.318698
1560.000000, 16.340798
1559.000000, 16.355803
1558.000000, 16.372391
1557.000000, 16.387930
1556.000000, 16.404164
1555.000000, 16.421853
1554.000000, 16.438659
